FID; LONGITUDE1(deg); LATITUDE1(deg); LONGITUDE2(deg); LATITUDE2(deg); TETADEG(DEG); LONGEUR(Km)
160; -6.99252825; 9.31989558; -6.93241474; 9.32822931; 81.99802042941; 6.6994228790149
161; -6.78286619; 9.31865173; -6.82432250; 9.32487302; 278.65046495336; 4.6292495733347
162; -6.79479893; 9.33119902; -6.83302474; 9.33034937; 268.71272026123; 4.2215506646476
163; -6.93241474; 9.32822931; -6.88582992; 9.35669967; 58.223533857837; 6.0387165822188
164; -7.64348467; 9.33165175; -7.58499678; 9.34173210; 80.087730909601; 6.5429369686165
165; -7.77837233; 9.34244958; -7.73463110; 9.35314788; 76.074949736412; 4.9639508468592
166; -7.19661485; 9.34865220; -7.26596284; 9.35170999; 272.56431544119; 7.6573621260962
167; -7.40799149; 9.34803555; -7.35664159; 9.34942904; 88.42045270059; 5.6646376981965
168; -7.64065880; 9.35605569; -7.70182790; 9.36008271; 273.82221524022; 6.7556761410159
169; -7.28729533; 9.34530401; -7.33316848; 9.34660723; 271.6528944972; 5.0614748365759
170; -7.61225071; 9.35648825; -7.56911167; 9.35251915; 95.323759661127; 4.7752464510895
171; -6.98850690; 9.35458498; -6.95142750; 9.34515261; 104.45350585162; 4.2248298600773
172; -6.95142750; 9.34515261; -6.91681622; 9.38020418; 44.250936879027; 5.4577262586621
173; -6.90381402; 9.36277225; -6.85629681; 9.36411505; 88.35558384182; 5.2477496301077
174; -7.03594085; 9.36841052; -7.07908807; 9.36810469; 269.59191323548; 4.7615220127032
175; -7.68211650; 9.37194628; -7.81048498; 9.37728386; 272.42364132374; 14.156106719217
176; -7.60234855; 9.37381068; -7.65429476; 9.36153319; 256.53316968079; 5.8855577649603
177; -7.63837226; 9.38208924; -7.67990256; 9.37953383; 266.43474149719; 4.5855714757467
178; -7.65860881; 9.37619846; -7.70887559; 9.37475764; 268.34003216557; 5.5415404800256
179; -6.92450356; 9.37319874; -6.97486111; 9.35342260; 248.30067832279; 5.9775435818034
180; -7.47176529; 9.37869635; -7.51272639; 9.38104092; 273.32360935138; 4.5233000357137
181; -6.89827504; 9.37575576; -6.93591702; 9.38248555; 280.27399022119; 4.2219784165725
182; -6.94085763; 9.37817547; -7.00643194; 9.37149998; 264.11449649012; 7.275551665736
183; -7.24123261; 9.38196554; -7.19923107; 9.37090549; 104.93997990614; 4.7937615015709
184; -7.55802100; 9.39262152; -7.51644644; 9.40546995; 72.603393301948; 4.8004627170742
